id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,release_year,duration_seconds,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,2023,211,0.04,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,2022,168,0.82,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,2021,234,0.06,0.21
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,2020,192,0.91,0.07
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,2024,198,0.02,0.18
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,2019,306,0.96,0.06
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,2018,257,0.74,0.32
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,2023,248,0.68,0.10
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,2022,180,0.88,0.05
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,2024,205,0.03,0.14
11,Golden Hour Drive,Marble Coast,hip hop,confident,0.78,96,0.72,0.84,0.12,2023,194,0.01,0.16
12,Velvet Letters,June Harbor,hip hop,romantic,0.55,84,0.69,0.71,0.31,2021,226,0.02,0.09
13,Winter Sonata,Aurora Chamber,classical,moody,0.24,66,0.32,0.18,0.94,2016,364,0.98,0.18
14,Open Road Promise,Dustline County,folk,happy,0.63,108,0.76,0.68,0.74,2020,218,0.04,0.25
15,Cedar and String,Northwood Kin,folk,chill,0.34,82,0.67,0.49,0.91,2017,241,0.22,0.19
16,Island Morning,Solar Roots,world,happy,0.59,88,0.86,0.82,0.42,2019,236,0.05,0.34
17,Iron Horizon,Crimson Anvil,rock,intense,0.97,168,0.29,0.43,0.03,2022,289,0.07,0.22
18,Basement Anthem,Static Youth,rock,intense,0.94,176,0.58,0.61,0.06,2018,154,0.02,0.48
19,Neon Festival,Prism Circuit,electronic,celebratory,0.96,128,0.89,0.91,0.02,2024,202,0.61,0.27
20,Afterhours Terrace,Luna District,electronic,relaxed,0.83,124,0.74,0.92,0.05,2023,322,0.73,0.15
21,Machine Pulse,Grid Operator,electronic,moody,0.88,132,0.36,0.78,0.01,2021,347,0.89,0.09
22,Cloud Ascension,Echo Meridian,electronic,celebratory,0.91,138,0.81,0.79,0.04,2020,401,0.86,0.13
23,Sunday Blue,Amber Grace,jazz,romantic,0.48,76,0.62,0.57,0.53,2015,249,0.03,0.31
24,Pocket Rhythm,The Brass Keys,jazz,celebratory,0.81,112,0.88,0.94,0.16,2019,213,0.12,0.72
25,Long Way Home,Delta Lantern,jazz,moody,0.41,74,0.38,0.52,0.81,2014,276,0.08,0.41
26,Sol de Barrio,Cielo Rojo,latin,celebratory,0.84,104,0.91,0.90,0.29,2022,207,0.04,0.36
27,Midnight Salsa,Orquesta Brisa,latin,romantic,0.87,190,0.93,0.95,0.21,2018,284,0.18,0.64
28,Fuego Lento,Rio Magnifico,latin,confident,0.86,94,0.73,0.93,0.08,2024,189,0.01,0.20
29,Lagos Sunrise,Kora Avenue,world,happy,0.80,116,0.90,0.89,0.26,2023,238,0.09,0.43
30,Carry Me Through,New Mercy Choir,jazz,romantic,0.72,102,0.92,0.66,0.61,2017,301,0.02,0.79
31,Mountain Rail,Blue Pine Union,folk,intense,0.73,144,0.82,0.76,0.88,2016,196,0.16,0.52
32,Kingdom in Motion,Silvergate Ensemble,classical,celebratory,0.89,126,0.79,0.28,0.87,2021,418,0.97,0.23
33,Edge of the Map,Atlas Frame,classical,confident,0.77,100,0.68,0.32,0.72,2022,376,0.95,0.12
